probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,1645,1533,2821038,445,1452,1.073721868
0.3,1639,1524,2811283,444,1448,1.071800558
0.3,1639,1524,2811283,444,1448,1.070369152
0.3,9727,10419,11576196,1758,7692,5.365908507
0.3,33771,38929,18537744,2994,20275,12.818863332
0.3,8555,8984,10550283,1615,6812,4.785159407
0.3,12147,13176,11621083,1866,8663,5.87511736
0.3,349,251,321065,133,228,0.113884487
0.3,349,251,321065,133,228,0.113704727
0.3,4488,4541,7155301,1006,3916,2.920456798
0.3,8810,9184,11512410,1705,7136,5.131538857
0.3,4488,4541,7155301,1006,3916,2.912484669
0.3,1637,1712,3175394,483,1570,1.190073687
0.3,1637,1712,3175394,483,1570,1.191032012
0.3,32159,35310,18857218,3027,18881,12.279964038
0.3,1651,1538,2928321,406,1479,1.103722479
0.3,1651,1538,2928321,406,1479,1.104552053
0.3,1651,1538,2928321,406,1479,1.102304816
0.3,8478,8851,10599134,1717,6677,4.738566646
0.3,8478,8851,10599134,1717,6677,4.728309677
0.3,18076,19506,16767699,2722,12799,8.629821446
0.3,19687,21298,17567219,2741,13722,9.259031642
0.3,19687,21299,17567219,2741,13722,9.247321692
0.3,46601,52436,19407528,3001,25036,15.518649543
0.3,53561,61770,18861639,2954,28430,17.134733212
0.3,20275,22670,17538754,2753,14296,9.541093847
0.3,32265,36733,18740597,2941,19631,12.529389473
0.3,4149,4419,5811411,809,3488,2.496069999
0.3,30361,35078,19173865,2980,18789,12.376609373
0.3,4149,4419,5811411,809,3488,2.498396454
0.3,23746,26409,19077898,2983,15923,10.75076975
0.3,13792,14746,14544076,2249,10334,7.138285523
0.3,7590,7786,8043225,1330,5514,3.747926347
0.3,14811,14809,15546892,2660,10776,7.405984761
0.3,14811,14809,15546892,2660,10776,7.415196642
0.3,14811,14809,15546892,2660,10776,7.406640344
0.3,5067,4827,6365695,1080,3834,2.712328209
0.3,5067,4827,6365695,1080,3834,2.709743569
0.3,5067,4827,6365695,1080,3834,2.703627121
0.3,11257,12140,12019120,1906,8491,5.830278438
0.3,2747,2634,4909299,780,2524,1.881882084
0.3,35689,41742,18138028,2902,21072,13.218790634
0.3,24152,28124,18565168,2937,16512,10.819494131
0.3,15694,17504,17160215,2729,12354,8.393009405
0.3,15694,17504,17160215,2729,12354,8.428254085
0.3,8667,9326,12901180,1882,7727,5.597129158
0.3,8667,9326,12901180,1882,7727,5.609705552
0.3,8667,9326,12901180,1882,7727,5.6025759
0.3,9533,10156,12815625,1920,8109,5.727804113
0.3,9533,10156,12815625,1920,8109,5.70536226
0.3,9533,10156,12815625,1920,8109,5.72326266
0.3,40,35,51097,10,33,0.020890467
0.3,40,35,51097,10,33,0.019701395
0.3,40,35,51097,10,33,0.019696097
0.3,6728,6378,7698629,1305,4827,3.4101268
0.3,6728,6377,7698629,1305,4827,3.416487402
0.3,6728,6377,7698629,1305,4827,3.414368459
0.3,7023,6995,8387239,1332,5367,3.738744524
0.3,7023,6994,8387239,1332,5367,3.739246431
0.3,44239,48301,17882396,3004,23346,14.333221102
0.3,30406,33704,17866361,3020,18041,11.641247836
0.3,22432,24984,17424534,2938,14952,9.908488205
0.3,30406,33704,17866361,3020,18041,11.654898596
0.3,3508,3333,5165006,756,2860,2.080715855
0.3,39922,44118,18819181,3005,22199,13.931106483
0.3,3508,3333,5165006,756,2860,2.086258728
0.3,5156,5125,6488692,1062,4020,2.804314484
0.3,5156,5125,6488692,1062,4020,2.797471875
0.3,5156,5125,6488692,1062,4020,2.798849497
0.3,20555,21149,17052580,2907,13671,9.046753302
0.3,20555,21149,17052580,2907,13671,9.06804642
0.3,20555,21149,17052580,2907,13671,9.060363101
0.3,1565,1371,2482994,438,1265,0.927564242
0.3,1565,1371,2482994,438,1265,0.929709234
0.3,9517,10057,10092557,1590,6928,4.813633934
0.3,1713,1554,2437513,462,1381,0.943580559
0.3,1713,1554,2437513,462,1381,0.951652748
0.3,1713,1554,2437513,462,1381,0.943409195
0.3,8129,8012,10306749,1625,6237,4.491902797
0.3,613,631,1103926,171,558,0.419372692
0.3,613,631,1103926,171,558,0.419101333
0.3,9508,10175,11726444,1818,7584,5.374819517
0.3,23806,27876,19327928,2998,16643,11.088236258
0.3,57692,69148,19397834,2998,30838,18.83383314
0.3,19074,19761,16827590,2865,12966,8.718482942
0.3,12856,12599,13131832,2215,9019,6.222520262
0.3,12856,12599,13131832,2215,9019,6.223617516
0.3,20157,21613,18399774,2986,14259,9.597933226
0.3,5515,5361,8522505,1263,4688,3.456784413
0.3,5515,5361,8522505,1263,4688,3.446893725
0.3,14152,15346,15764460,2478,11006,7.600444393
0.3,14152,15346,15764460,2478,11006,7.593934478
0.3,31272,36144,18580507,2968,19141,12.333235966
0.3,12661,12522,15314671,2389,9726,6.928185188
0.3,41675,47112,19141752,3011,23245,14.569636553
0.3,12661,12520,15314671,2389,9726,6.915037013
0.3,13451,12955,14886735,2529,10023,6.879204197
0.3,13451,12955,14886735,2529,10023,6.916380144
0.3,13451,12955,14886735,2529,10023,6.880461052
0.3,21730,24275,18715804,2943,15114,10.175897472
0.3,11374,12288,12139926,1895,8554,5.873634109
0.3,11374,12288,12139926,1895,8554,5.854465688
0.3,34772,37809,17376164,3075,19123,12.231810347
0.3,34772,37809,17376164,3075,19123,12.249651155
0.3,10492,10156,10801908,1883,7378,5.01711322
0.3,2635,2423,2962231,613,1908,1.244399902
0.3,2635,2421,2962231,613,1908,1.25278651
0.3,29587,30973,17676650,3014,17055,11.054419552
0.3,4566,4604,6449124,1008,3725,2.691180887
0.3,4566,4603,6449124,1008,3725,2.700637234
0.3,38454,42870,18954785,2993,21547,13.72553038
0.3,14628,15709,15235454,2280,10786,7.534810383
0.3,14628,15709,15235454,2280,10786,7.520023263
0.3,14628,15709,15235454,2280,10786,7.524313815
0.3,10805,12837,12030888,1747,8601,5.955543744
0.3,5869,6355,7976944,1143,4912,3.503660978
0.3,10805,12838,12030888,1747,8601,5.960028387
0.3,19123,20156,17836779,2978,13539,9.141083735
0.3,24845,27256,18121812,3023,15988,10.543330012
0.3,19123,20156,17836779,2978,13539,9.134416669
0.3,23956,27153,18566369,2982,16009,10.667667998
0.3,1754,1646,2972565,494,1527,1.123329524
0.3,1754,1647,2982217,495,1529,1.130878714
0.3,12653,13472,15128339,2337,10030,7.043371723
0.3,12653,13472,15128339,2337,10030,7.04432512
0.3,12653,13472,15128339,2337,10030,7.014285203
0.3,8,10,20419,2,12,0.007909689
0.3,8,10,20419,2,12,0.007807586
0.3,8,10,20419,2,12,0.007868372
