probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,23588,26225,18770291,3066,15841,14.403721764
0.3,20002,21801,18643576,3048,14315,13.171734091
0.3,23588,26228,18770291,3066,15841,14.325140201
0.3,23649,26859,18580568,2954,15955,14.507796903
0.3,5115,5158,8005157,1171,4474,4.504004331
0.3,5115,5158,8005157,1171,4474,4.479673528
0.3,42210,47571,18105300,2885,23076,19.695360013
0.3,11918,13194,11871797,1859,8764,8.145067621
0.3,16914,18233,16688009,2617,12287,11.509354194
0.3,498,383,547564,185,380,0.288530532
0.3,498,383,547564,185,380,0.278229915
0.3,498,383,547564,185,380,0.276468284
0.3,5072,5137,7044926,1035,4131,4.051046529
0.3,5072,5134,7044926,1035,4131,4.060263939
0.3,24630,28586,19222952,2947,16905,15.327283026
0.3,18146,19650,17292945,2785,13041,12.175823345
0.3,2394,2425,4539936,647,2292,2.349256263
0.3,18146,19650,17292945,2785,13041,12.109775156
0.3,30780,35597,19018142,3008,19175,17.051357785
0.3,20132,21396,18972226,3005,14498,13.389118339
0.3,20132,21396,18972226,3005,14498,13.392452729
0.3,7671,7396,9730471,1548,5868,5.755039282
0.3,7719,7454,9785255,1555,5904,5.789102208
0.3,7719,7454,9785255,1555,5904,5.78597272
0.3,4428,3928,7184780,1162,3692,3.807036269
0.3,4428,3928,7184780,1162,3692,3.813892606
0.3,10306,9767,11784857,1896,7396,7.214126319
0.3,5782,6074,8218713,1181,4953,4.755954336
0.3,5782,6073,8218713,1181,4953,4.758594854
0.3,5782,6073,8218713,1181,4953,4.753260646
0.3,2990,2554,3857145,656,2189,2.068751298
0.3,30,20,20558,9,19,0.011221372
0.3,2990,2554,3857145,656,2189,2.076340568
0.3,4380,4411,6175161,954,3692,3.510376282
0.3,15124,16037,14574325,2357,10860,9.95358798
0.3,4380,4411,6175161,954,3692,3.538790022
0.3,8805,8657,10069407,1742,6497,6.140133443
0.3,33591,37174,18488224,3013,19301,16.848168879
0.3,14191,14548,15068716,2509,10370,9.746114656
0.3,5973,5260,6772472,1194,4051,3.921362295
0.3,5973,5261,6772472,1194,4051,3.91167944
0.3,5973,5259,6772472,1194,4051,3.900763549
0.3,3150,2681,3886964,697,2280,2.142604408
0.3,3150,2681,3886964,697,2280,2.143529923
0.3,4048,3371,4497892,792,2736,2.530144406
0.3,162,156,346565,49,151,0.162924654
0.3,162,156,346565,49,151,0.163602973
0.3,162,155,346565,49,151,0.165197058
0.3,32002,35761,17681571,3011,18965,16.1939792
0.3,11446,12140,10957254,1884,8273,7.413710019
0.3,11446,12140,10957254,1884,8273,7.398209793
0.3,6579,6744,8952403,1305,5321,5.2010883
0.3,6579,6744,8952403,1305,5321,5.198732583
0.3,19327,21248,17253972,2712,13523,12.390161726
0.3,35885,39366,18849391,2994,20291,17.593212623
0.3,18095,17764,17152769,2769,12269,11.468313006
0.3,35885,39366,18849391,2994,20291,17.622234556
0.3,4997,4923,6890743,996,4021,3.925201857
0.3,4997,4922,6880398,995,4019,3.903532317
0.3,4997,4922,6880398,995,4019,3.907288175
0.3,21195,24663,18286215,2850,15313,13.726961835
0.3,21195,24663,18286215,2850,15313,13.697780429
0.3,21195,24664,18294446,2851,15315,13.72490913
0.3,15401,15835,14675934,2440,10935,9.88992062
0.3,19355,20615,17782117,2942,13890,12.456182303
0.3,15401,15835,14675934,2440,10935,9.941755804
0.3,8100,7956,10034540,1573,6207,6.029430776
0.3,8100,7956,10034540,1573,6207,6.0025646
0.3,22406,25166,19219945,2972,15787,14.332081618
0.3,5139,5167,6512612,1085,4050,3.789274794
0.3,5139,5167,6512612,1085,4050,3.804376147
0.3,5139,5167,6512612,1085,4050,3.78890018
0.3,11513,11774,12892138,2044,8531,8.115031909
0.3,38721,43210,18809201,3063,21536,18.4917388
0.3,38721,43210,18809201,3063,21536,18.480248783
0.3,30561,33650,18289683,3026,18117,15.993704864
0.3,5053,4911,5943476,1041,3765,3.514391515
0.3,30561,33650,18289683,3026,18117,15.947678266
0.3,94404,103383,18274122,2991,42023,33.224453897
0.3,23624,24233,17086888,2861,14481,13.050096446
0.3,47782,51979,18158774,2991,24526,20.417410491
0.3,22145,24666,15948116,2557,14322,12.680975757
0.3,8793,8908,10611673,1645,6679,6.440699197
0.3,8793,8910,10629153,1647,6683,6.444631652
0.3,40761,45395,19096329,3000,22762,19.223592474
0.3,7005,7248,8563561,1260,5386,5.185606008
0.3,7005,7248,8563561,1260,5386,5.194552847
0.3,23218,25521,18515761,2974,15608,14.013322729
0.3,31506,35840,18533614,2974,18982,16.57627532
0.3,19908,21298,17242128,2775,13551,12.379872313
0.3,4607,4504,6116848,937,3554,3.475872615
0.3,4607,4503,6116848,937,3554,3.466298542
0.3,1947,1938,3354151,469,1753,1.767895025
0.3,25674,27792,17298587,2972,16034,14.055330367
0.3,14732,14816,15081803,2604,10747,9.824300228
0.3,39038,42937,17336323,2972,21262,17.767177258
0.3,11068,11652,13314215,2047,8762,8.318908173
0.3,9902,10269,11866349,1854,7678,7.356194001
0.3,9902,10269,11866349,1854,7678,7.332232524
0.3,13424,13514,16224884,2695,10576,10.051387461
0.3,7622,7702,10390522,1667,6298,6.101946513
0.3,7622,7702,10390522,1667,6298,6.101101749
0.3,34837,41173,19439386,2986,21049,18.353931075
0.3,10051,10545,13353558,1970,8346,8.084386529
0.3,8909,9335,12273623,1771,7507,7.364685654
0.3,8049,8080,10409256,1715,6434,6.126017496
0.3,8049,8080,10409256,1715,6434,6.122764741
0.3,8049,8080,10409256,1715,6434,6.119144298
0.3,13871,15029,16144435,2502,11151,10.37594008
0.3,13871,15029,16144435,2502,11151,10.379313335
0.3,13871,15029,16144435,2502,11151,10.371735087
0.3,11824,13066,13387186,2010,9308,8.729240354
0.3,11824,13065,13387186,2010,9308,8.714046055
0.3,11824,13064,13387186,2010,9308,8.747806515
0.3,4025,3750,5657049,882,3219,3.106759846
0.3,55177,58619,18459262,2993,26863,22.109875219
0.3,4025,3751,5657049,882,3219,3.10122224
0.3,6694,6575,8752085,1349,5245,5.115974185
0.3,6694,6575,8752085,1349,5245,5.116731349
0.3,6694,6575,8752085,1349,5245,5.110506115
0.3,3070,3318,4746831,762,2774,2.656212939
0.3,17516,17549,16252960,2773,12099,11.078907629
0.3,37892,40667,17389798,2969,20490,17.302164578
0.3,23408,25429,17429771,2948,15057,13.432241745
0.3,7108,6921,9559919,1487,5663,5.505632571
0.3,23408,25429,17429771,2948,15057,13.445362096
0.3,5282,5408,8385325,1240,4774,4.674682844
0.3,5282,5408,8385325,1240,4774,4.682995149
0.3,5282,5408,8385325,1240,4774,4.681678992
0.3,25752,28727,18378071,2965,16577,14.725141123
0.3,25752,28731,18378071,2965,16577,14.725659533
0.3,15844,16574,15622135,2520,11316,10.479180466
0.3,31,43,61259,6,42,0.034318974
0.3,31,43,61259,6,42,0.034313549
0.3,31,43,61259,6,42,0.034084082
0.3,34824,41162,18910960,2939,21126,18.016154761
0.3,12492,13854,13938212,2102,9779,9.123565813
0.3,34824,41162,18910960,2939,21126,18.019384787
0.3,12917,13753,13494685,2151,9631,8.923196743
0.3,32921,37445,18158565,2971,19559,16.853324732
0.3,12917,13753,13494685,2151,9631,8.917460704
0.3,9665,10133,13192367,1954,8208,7.890615112
0.3,32125,35549,19315084,2989,19124,16.809651113
0.3,9665,10134,13192367,1954,8208,7.896714604
0.3,4112,4075,5273364,861,3262,3.037642685
0.3,74448,79896,18921811,3087,34059,27.524746524
0.3,4112,4074,5273364,861,3262,3.038979305
0.3,13887,15587,13865759,2074,10410,9.524813322
0.3,13887,15586,13857368,2073,10408,9.548284651
0.3,13887,15586,13857368,2073,10408,9.518606601
0.3,5224,5164,7637415,1172,4285,4.288912226
0.3,1906,1942,4132285,520,1922,2.094926385
0.3,1906,1942,4132285,520,1922,2.106790105
0.3,9141,9934,12068745,1807,7588,7.350238524
0.3,9141,9934,12068745,1807,7588,7.336034602
0.3,9141,9934,12068745,1807,7588,7.354405675
0.3,29432,33710,18408954,2976,18248,15.967130523
0.3,29432,33710,18408954,2976,18248,15.951109671
0.3,29432,33710,18408954,2976,18248,15.952252669
0.3,61,78,81706,9,67,0.049134674
0.3,8827,8874,10938199,1791,6941,6.63046233
0.3,36129,41009,18490219,2976,20985,17.900388279
0.3,3882,3435,6896829,1043,3411,3.564337844
0.3,3882,3435,6896829,1043,3411,3.558069905
0.3,3882,3435,6896829,1043,3411,3.5605868
0.3,12324,11826,14298948,2414,9280,8.772727442
0.3,12324,11825,14298948,2414,9280,8.772559367
0.3,29692,32426,17847051,2935,17650,15.49059204
0.3,5946,5827,6742522,1126,4293,4.102355388
0.3,7962,7869,9942261,1607,6143,5.948589638
0.3,7962,7869,9942261,1607,6143,5.957319173
0.3,17217,17557,16210512,2646,12084,11.034153823
0.3,6427,6623,7655886,1227,4931,4.642721058
0.3,38561,42702,18164065,2951,21513,18.14015676
0.3,3057,2890,4191864,657,2356,2.308234288
0.3,3057,2891,4191864,657,2356,2.299762932
0.3,3057,2890,4191864,657,2356,2.308709396
0.3,25518,29475,18340683,2948,16852,14.947382701
0.3,25518,29477,18340683,2948,16852,15.006311998
0.3,3366,3422,4903272,718,2793,2.745642704
0.3,3557,3306,5592303,839,3001,2.981088393
0.3,34733,38480,18286489,2960,19915,17.108336909
0.3,3557,3306,5592303,839,3001,2.979781547
0.3,41436,44982,17695963,3060,21705,18.360581578
0.3,17672,18103,16323253,2865,12149,11.197917226
0.3,5602,5096,6076182,1146,3871,3.597394291
0.3,11291,12031,12851319,1997,8801,8.236011316
0.3,23497,26452,18071859,2934,15788,14.030722478
0.3,11291,12032,12851319,1997,8801,8.2288609
0.3,8562,8557,8849206,1401,6126,5.637118372
0.3,8562,8555,8849206,1401,6126,5.635458306
0.3,8562,8555,8849206,1401,6126,5.651882066
0.3,633,609,1317974,197,621,0.647011248
0.3,633,610,1317974,197,621,0.647786777
0.3,633,609,1317974,197,621,0.646016327
0.3,7512,7421,9658905,1531,5924,5.702868093
0.3,7512,7420,9658905,1531,5924,5.701902968
0.3,7512,7420,9658905,1531,5924,5.717928266
0.3,2177,1865,2933206,532,1662,1.553181297
0.3,2177,1865,2933206,532,1662,1.557400714
0.3,2177,1865,2933206,532,1662,1.552199525
0.3,30094,33930,18086886,3023,18250,16.017122577
0.3,26046,28999,17361407,2911,16295,14.379639853
0.3,32806,37052,18093923,3023,19334,16.717122921
0.3,15479,15930,15146435,2521,11085,10.175697866
0.3,4619,4633,6422896,1030,3768,3.666174318
0.3,47641,53720,18405410,3004,25004,20.95889907
0.3,424,411,620049,103,371,0.325811384
0.3,424,411,620049,103,371,0.326285041
0.3,424,411,620049,103,371,0.326224752
0.3,8413,8104,9959436,1725,6319,5.954983221
0.3,30491,34007,17853826,3076,18130,15.828687263
0.3,6741,6239,9075097,1583,5332,5.113668936
0.3,7356,7774,9136220,1406,5857,5.5726357
0.3,7356,7774,9136220,1406,5857,5.565350421
0.3,2352,2419,4662080,606,2309,2.42485374
0.3,26180,28686,18598439,3015,16546,14.846251027
