Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,1.853E-4,20.0,36,1,2,41
0.0,true,1.858E-4,22.0,42,0,2,47
0.0,true,2.152E-4,22.0,52,2,3,45
0.0,true,1.744E-4,18.0,30,0,1,43
0.0,true,1.848E-4,18.0,44,0,1,41
0.0,true,3.618E-4,20.0,109,2,3,45
0.0,true,2.459E-4,20.0,66,1,2,36
0.0,true,2.886E-4,20.0,46,1,2,44
0.0,true,1.284E-4,18.0,32,0,1,33
0.0,true,2.614E-4,18.0,52,1,2,45
0.0,true,3.267E-4,22.0,80,2,3,50
0.0,true,2.0E-4,18.0,38,1,2,40
0.0,true,2.44E-4,20.0,68,2,3,45
0.0,true,2.938E-4,18.0,67,2,3,44
0.0,true,1.974E-4,18.0,57,0,1,46
0.0,true,2.04E-4,20.0,81,2,3,47
0.0,true,1.266E-4,18.0,50,1,2,43
0.0,true,1.894E-4,18.0,40,0,1,44
0.0,true,1.675E-4,18.0,27,0,1,48
0.0,true,1.26E-4,18.0,23,0,1,35
0.0,true,3.543E-4,18.0,51,2,3,45
0.0,true,3.441E-4,20.0,54,1,3,44
0.0,true,1.314E-4,18.0,25,0,1,36
0.0,true,2.146E-4,18.0,43,1,2,44
0.0,true,2.467E-4,20.0,47,1,2,47
0.0,true,1.639E-4,18.0,48,1,2,38
0.0,true,1.655E-4,18.0,44,1,2,40
0.0,true,1.582E-4,18.0,43,1,2,31
0.0,true,3.055E-4,28.0,116,5,6,66
0.0,true,3.057E-4,20.0,79,2,3,43
0.0,true,1.464E-4,18.0,37,0,1,41
0.0,true,1.186E-4,22.0,46,2,3,44
0.0,true,3.029E-4,20.0,87,2,3,45
0.0,true,1.927E-4,20.0,47,2,3,42
0.0,true,1.946E-4,18.0,44,1,2,42
0.0,true,1.304E-4,18.0,34,0,1,40
0.0,true,2.981E-4,26.0,74,2,3,53
0.0,true,1.916E-4,20.0,34,1,2,47
0.0,true,1.531E-4,18.0,24,0,1,40
0.0,true,1.668E-4,20.0,43,1,2,39
0.0,true,1.7E-4,20.0,35,1,2,38
0.0,true,1.338E-4,18.0,36,0,1,45
0.0,true,4.98E-4,22.0,52,2,3,53
0.0,true,2.02E-4,24.0,74,2,4,52
0.0,true,1.856E-4,18.0,92,1,3,42
0.0,true,2.299E-4,20.0,58,1,2,36
0.0,true,2.157E-4,20.0,50,2,3,44
0.0,true,2.962E-4,26.0,73,2,5,51
0.0,true,1.512E-4,18.0,21,0,1,36
0.0,true,5.124E-4,28.0,101,0,3,51
0.0,true,1.478E-4,18.0,24,0,1,36
0.0,true,3.89E-4,22.0,69,3,4,50
0.0,true,3.042E-4,22.0,92,5,6,47
0.0,true,2.332E-4,20.0,50,2,3,32
0.0,true,2.528E-4,18.0,73,2,3,45
0.0,true,2.255E-4,20.0,61,1,2,48
0.0,true,3.085E-4,26.0,51,2,3,43
0.0,true,1.47E-4,18.0,32,0,1,37
0.0,true,1.231E-4,18.0,23,0,1,44
0.0,true,2.836E-4,18.0,73,2,3,47
0.0,true,3.872E-4,18.0,41,1,2,37
