Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
10.0,true,1.007E-4,20.0,26,1,2,41
11.0,true,1.458E-4,20.0,53,3,4,47
11.0,true,2.593E-4,24.0,62,3,4,53
11.0,true,2.824E-4,26.0,71,4,5,57
11.0,true,6.46E-5,20.0,29,1,2,40
11.0,true,1.343E-4,18.0,47,2,3,45
11.0,true,1.245E-4,20.0,44,2,3,42
11.0,true,1.553E-4,20.0,26,1,2,41
11.0,true,9.28E-5,18.0,31,1,2,38
11.0,true,1.724E-4,20.0,68,2,4,47
11.0,true,1.162E-4,20.0,27,1,2,41
12.0,true,8.76E-5,18.0,19,0,1,36
12.0,true,1.142E-4,20.0,24,1,2,40
12.0,true,7.52E-5,18.0,19,0,1,36
12.0,true,1.719E-4,20.0,61,4,5,44
12.0,true,8.02E-5,20.0,43,2,3,45
12.0,true,1.256E-4,18.0,88,2,5,43
12.0,true,9.79E-5,20.0,26,1,2,41
12.0,true,2.003E-4,20.0,81,5,6,49
12.0,true,1.177E-4,20.0,37,1,2,41
12.0,true,1.27E-4,20.0,27,1,2,41
13.0,true,1.278E-4,22.0,40,1,3,41
13.0,true,1.433E-4,20.0,48,2,3,45
13.0,true,1.445E-4,20.0,46,2,3,45
13.0,true,1.515E-4,20.0,40,2,3,42
13.0,true,1.952E-4,22.0,56,4,5,51
13.0,true,1.498E-4,22.0,45,1,3,51
13.0,true,1.998E-4,30.0,56,2,4,53
13.0,true,1.851E-4,20.0,73,4,5,48
13.0,true,1.324E-4,18.0,38,1,2,42
13.0,true,2.016E-4,24.0,67,3,5,52
14.0,true,9.72E-5,24.0,53,3,4,47
14.0,true,1.508E-4,20.0,50,2,4,47
14.0,true,1.924E-4,18.0,48,2,3,43
14.0,true,1.565E-4,24.0,42,3,4,48
14.0,true,2.221E-4,24.0,50,2,3,48
14.0,true,9.9E-5,18.0,31,1,2,38
14.0,true,1.138E-4,20.0,38,2,3,42
14.0,true,1.27E-4,20.0,38,1,3,44
14.0,true,3.598E-4,22.0,91,7,8,49
14.0,true,1.579E-4,18.0,53,2,3,45
15.0,true,1.43E-4,20.0,37,1,2,45
15.0,true,1.31E-4,18.0,51,2,3,45
15.0,true,1.012E-4,18.0,36,1,2,39
15.0,true,1.05E-4,18.0,37,1,2,31
15.0,true,1.549E-4,30.0,86,6,7,60
15.0,true,1.392E-4,20.0,50,3,4,42
15.0,true,1.948E-4,26.0,64,2,4,53
15.0,true,8.07E-5,22.0,36,2,3,44
