probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,5991,2768,8155529,1258,4826,3.052141683
0.3,5991,2768,8155529,1258,4826,2.934508074
0.3,5991,2768,8155529,1258,4826,2.919715702
0.3,63946,18387,17069284,3002,23203,7.630541159
0.3,34618,11229,16994688,3002,16046,6.779656391
0.3,377390,94746,17935399,3002,99548,16.363001946
0.3,6283,2731,7745252,1223,4704,2.795961781
0.3,6283,2731,7745252,1223,4704,2.785447205
0.3,6283,2731,7745252,1223,4704,2.775342973
0.3,462,179,600560,122,355,0.199890509
0.3,462,179,600560,122,355,0.20103052
0.3,81836,22983,18284157,3030,27939,8.561516263
0.3,1415,710,2149885,314,1223,0.742306181
0.3,1415,710,2149885,314,1223,0.743637991
0.3,1415,710,2149885,314,1223,0.74105571
0.3,102977,28403,17751636,3015,33262,8.951954187
0.3,4235,1890,5476539,898,3316,1.950739646
0.3,4235,1890,5476539,898,3316,1.943426689
0.3,95419,27533,19217290,2998,32531,9.294600927
0.3,76211,22571,19170921,2998,27569,8.752454767
0.3,56645,17568,19120978,2998,22568,8.156662757
0.3,5603,2563,7043335,1212,4460,2.532777047
0.3,108843,29083,18060663,3011,33926,9.075996838
0.3,5603,2563,7043335,1212,4460,2.536442082
0.3,47003,14572,18525557,2989,19498,7.618490832
0.3,14645,6471,17402525,2842,11128,6.371181947
0.3,47003,14572,18525557,2989,19498,7.618969995
0.3,3832,2049,6125400,846,3483,2.159115822
0.3,131376,35710,18468992,2964,40563,10.032577451
0.3,90410,25449,18358910,2964,30303,8.835866274
0.3,249536,66319,17719232,3017,71169,13.161996229
0.3,15394,6391,16078841,2846,10949,5.957130043
0.3,15394,6391,16078841,2846,10949,5.938944131
0.3,8127,3801,10883026,1632,6510,3.932345324
0.3,76217,22457,18602576,2965,27366,8.535344941
0.3,8127,3801,10883026,1632,6510,3.920578894
0.3,82664,24233,18531099,2952,29104,8.659308435
0.3,82664,24233,18531099,2952,29104,8.727847404
0.3,46548,14816,18443196,2952,19689,7.635029471
0.3,7825,3528,9820043,1534,6034,3.530855603
0.3,46551,14892,18765860,3004,19874,7.719163502
0.3,161699,45201,19041886,3004,50178,11.168696391
0.3,26499,9115,17702572,2986,13948,6.78560269
0.3,131775,34850,17976927,2986,39678,9.73059038
0.3,131775,34850,17976927,2986,39678,9.778263702
0.3,4807,2199,6395886,1008,3831,2.277186531
0.3,4807,2199,6395886,1008,3831,2.264493682
0.3,98763,27763,18794957,3038,32783,9.168656569
0.3,85883,23712,18004248,3005,28609,8.458502548
0.3,11259,4935,13288907,2193,8498,4.825375439
0.3,48817,14637,17908852,3005,19536,7.405952138
0.3,108698,28472,17697281,2927,33176,8.865562382
0.3,4364,1755,4758615,773,2977,1.707196979
0.3,208696,52133,18009208,2927,56833,11.569627938
0.3,106596,29053,18695038,2932,33928,9.225034906
0.3,7456,3542,10195704,1526,6079,3.683905911
0.3,7456,3542,10195704,1526,6079,3.683067805
