probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,45759,15004,18283029,2971,19889,7.743224953
0.3,1599,660,2259739,349,1225,0.771581628
0.3,1599,660,2259739,349,1225,0.780276639
0.3,165323,45186,18804955,2994,50126,11.077362977
0.3,7325,3558,9557635,1509,6016,3.432139799
0.3,47977,15063,18507065,2994,20008,7.633607548
0.3,2811,1091,3194268,551,1940,1.116350335
0.3,2811,1091,3194268,551,1940,1.114694068
0.3,89907,25806,18136301,2955,30656,8.696246665
0.3,57440,17868,18411948,2949,22736,7.937577287
0.3,28786,10415,18339868,2949,15284,7.099546944
0.3,38260,12829,18365229,2949,17697,7.389630444
0.3,44627,13715,18431702,3027,18607,7.512792907
0.3,288251,74825,19136182,3027,79707,14.45910201
0.3,3275,1507,4810282,744,2710,1.683120204
0.3,99949,27564,18219978,2994,32486,8.928245528
0.3,99949,27564,18219978,2994,32486,8.952139404
0.3,2623,1222,3497228,524,2075,1.237162335
0.3,205322,52586,18930823,3013,57518,11.910447785
0.3,9970,4388,12208417,1960,7580,4.433401279
0.3,9970,4388,12208417,1960,7580,4.430015741
0.3,75871,22340,18918946,3001,27305,8.533161912
0.3,55317,17031,18872535,3001,21998,8.0078735
0.3,55317,17031,18872535,3001,21998,7.989273272
0.3,23365,8856,18447560,2954,13750,6.909261763
0.3,23365,8856,18447560,2954,13750,6.903976911
0.3,32595,11212,18471109,2954,16105,7.194127426
0.3,1665,748,2422731,358,1335,0.822088479
0.3,1665,748,2422731,358,1335,0.824060967
0.3,1665,748,2422731,358,1335,0.82250683
0.3,3420,1645,4998055,719,2848,1.745212359
0.3,81402,23903,19833249,3001,28920,9.100626457
0.3,45274,14519,19737018,3001,19538,7.959171477
0.3,13093,5492,13310346,2419,9279,4.935851035
0.3,13093,5492,13310346,2419,9279,4.954897233
0.3,13093,5492,13310346,2419,9279,4.959449477
0.3,4191,1623,4370970,769,2806,1.551165964
0.3,45081,14470,18047721,2949,19342,7.473369344
0.3,124315,35281,18236555,2949,40150,9.836469961
0.3,28351,10120,17452649,2902,14847,6.77799559
0.3,36881,12368,17473466,2902,17094,6.989801807
0.3,117391,33366,17675808,2902,38089,9.430078188
0.3,31030,11435,18677258,2944,16369,7.221338062
0.3,142002,41901,18924161,2944,46830,10.741381711
0.3,13862,6557,17514322,2762,11181,6.333927635
0.3,12145,5639,15457567,2493,9752,5.586193724
0.3,12145,5639,15457567,2493,9752,5.567930906
0.3,12145,5639,15457567,2493,9752,5.595462386
0.3,12277,5831,15830945,2554,10030,5.715014168
0.3,12277,5831,15830945,2554,10030,5.728005833
0.3,105327,30561,18823357,2981,35483,9.49441766
0.3,40,20,51097,10,33,0.017893567
0.3,40,20,51097,10,33,0.017780367
0.3,40,20,51097,10,33,0.017827158
0.3,30868,10377,17593230,3038,15275,6.819229871
0.3,20532,7677,17568837,3038,12576,6.517749599
0.3,77834,21907,17713622,3038,26802,8.150846412
0.3,55217,16429,17512089,3004,21279,7.487435108
0.3,19893,7753,17423366,3004,12605,6.467876698
0.3,29021,9993,17445998,3004,14844,6.717166869
0.3,90034,25314,17639888,3020,30192,8.518768335
0.3,15366,6572,16671756,2899,11242,6.108317159
