probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,1733,913,2820300,448,1367,0.934303329
0.3,1733,913,2820300,448,1367,0.942234383
0.3,1733,913,2820300,448,1367,0.943924047
0.3,5813,3325,9534332,1556,4948,3.290419479
0.3,5813,3325,9534332,1556,4948,3.290372762
0.3,161339,47262,18689260,2994,43308,10.670401564
0.3,15383,6871,18132545,2955,10203,6.485126815
0.3,15383,6871,18132545,2955,10203,6.481608929
0.3,349,205,321064,133,227,0.102514725
0.3,35568,12571,18572249,2949,15035,7.175298136
0.3,2308,1311,4416052,610,2062,1.470616013
0.3,44376,15124,18593668,2949,17165,7.432111574
0.3,1551,964,3525299,468,1568,1.151346728
0.3,14547,6643,18942205,3027,10052,6.644867976
0.3,1551,964,3525299,468,1568,1.152730417
0.3,1603,947,2938737,409,1428,0.977085892
0.3,1603,947,2938737,409,1428,0.980040348
0.3,28261,10046,18214611,2994,12748,6.803458798
0.3,6104,3315,10037292,1705,5039,3.43168826
0.3,6104,3315,10037292,1705,5039,3.429438159
0.3,6104,3315,10037292,1705,5039,3.418752683
0.3,22591,8834,19065927,3001,11961,6.898251563
0.3,22591,8834,19065927,3001,11961,6.901274491
0.3,34881,12040,19097423,3001,14609,7.264407251
0.3,71967,22618,18856449,2954,23340,8.262323696
0.3,44769,14880,18793255,2954,16920,7.420443005
0.3,39527,13573,18778741,2954,15844,7.306335769
0.3,161545,47233,19345264,2980,43293,11.12680859
0.3,52605,16869,19083171,2980,18437,7.742092179
0.3,52605,16869,19083171,2980,18437,7.826710573
0.3,14794,6779,18849584,3001,10178,6.654648384
0.3,3036,1747,5274232,864,2626,1.764040314
0.3,3036,1747,5274232,864,2626,1.764819659
0.3,8633,4468,12495154,2200,6647,4.354002741
0.3,8633,4468,12495154,2200,6647,4.344182105
0.3,8633,4468,12495154,2200,6647,4.34884781
0.3,14377,6648,17619295,2949,9935,6.267281261
0.3,4725,2362,6834963,1193,3505,2.312508292
0.3,52139,16945,17713997,2949,18467,7.337325962
0.3,44499,14976,18279430,2902,16720,7.272019714
0.3,75381,23568,18356939,2902,23942,8.210694411
0.3,75381,23568,18356939,2902,23942,8.215030892
0.3,38738,13565,18451677,2944,15773,7.14281882
0.3,102028,32478,18588019,2944,31416,9.175913727
0.3,48318,16339,18472434,2944,18055,7.459425222
0.3,5641,3304,10690372,1522,5230,3.645089722
0.3,5641,3304,10690372,1522,5230,3.638027379
0.3,5641,3304,10690372,1522,5230,3.634093166
0.3,3875,2234,6786371,1056,3401,2.28782891
0.3,3875,2234,6786371,1056,3401,2.290306286
0.3,3875,2234,6786371,1056,3401,2.283752279
0.3,40,27,51097,10,33,0.017846743
0.3,40,27,51097,10,33,0.017730121
0.3,40,27,51097,10,33,0.017723586
0.3,21994,8407,18216483,3038,11327,6.575697512
0.3,185458,51286,18642175,3038,45846,11.057220686
0.3,21994,8407,18216483,3038,11327,6.549083417
0.3,98415,28433,18736105,3004,27850,8.819550043
0.3,22425,8678,18537338,3004,11782,6.707183796
0.3,36503,12156,18573625,3004,14589,7.062847877
0.3,20024,8242,17319458,3020,11129,6.249933565
0.3,11750,5939,16794914,2926,9090,5.859272787
0.3,20024,8242,17319458,3020,11129,6.274247816
0.3,28920,10310,18895870,3005,13178,7.007561987
0.3,2128,1294,4151763,578,1956,1.384979086
0.3,2128,1294,4151763,578,1956,1.388858439
0.3,4388,2313,6402460,1134,3423,2.188485376
0.3,25688,9322,17274408,2907,12007,6.358030992
