probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,189202,54453,18999764,3066,48522,15.408345303
0.3,7448,3895,12126307,1952,6071,5.606271312
0.3,46258,15099,18665336,3066,16863,9.988131669
0.3,4203,2406,7841410,1127,3733,3.564631575
0.3,4203,2406,7841410,1127,3733,3.567179605
0.3,15951,7173,19144159,2980,10609,9.090690403
0.3,28350,10218,17121506,2885,12638,8.660618102
0.3,28350,10218,17121506,2885,12638,8.658699589
0.3,6650,3820,10798686,1771,5674,5.03397282
0.3,27684,9320,17381800,3027,11913,8.703789503
0.3,552,324,537124,197,383,0.243869524
0.3,552,324,537124,197,383,0.243123315
0.3,41776,13969,19052020,2951,16318,10.034937687
0.3,151002,44970,19315855,2951,42006,14.433780144
0.3,2426,1378,4513954,669,2168,2.028904544
0.3,2200,1269,4228202,611,1974,1.879271878
0.3,52664,16712,18410757,2981,18220,10.085763451
0.3,2200,1269,4228202,611,1974,1.87490474
0.3,120614,35734,18701831,3008,34263,12.892546153
0.3,6760,3808,11311845,1832,5848,5.240455798
0.3,6760,3808,11311845,1832,5848,5.245860798
0.3,20193,8206,18714000,3007,11345,9.029950291
0.3,4421,2440,7543948,1197,3749,3.457911707
0.3,4421,2440,7543948,1197,3749,3.441800542
0.3,2060,1253,4079138,623,1909,1.823065046
0.3,2060,1253,4079138,623,1909,1.81219681
0.3,2060,1253,4079138,623,1909,1.809360458
0.3,4492,2605,7861413,1174,3971,3.569440642
0.3,4492,2605,7861413,1174,3971,3.574432112
0.3,4492,2605,7861413,1174,3971,3.582765591
0.3,30,17,20558,9,19,0.010094366
0.3,30,17,20558,9,19,0.010001947
0.3,14476,6784,18523689,2959,10209,8.885087565
0.3,8056,4086,12009231,1970,6293,5.622976995
0.3,8056,4086,12009231,1970,6293,5.64333954
0.3,8056,4086,12009231,1970,6293,5.617535131
0.3,48433,15463,17886250,3013,16974,9.572387728
0.3,176899,50907,18223602,3013,45811,14.414476257
0.3,73919,22481,17954110,3013,22683,10.529282518
0.3,1083,564,1283610,324,723,0.563828449
0.3,1083,564,1283610,324,723,0.561107361
0.3,1083,564,1283610,324,723,0.559410619
0.3,2014,943,2712778,516,1391,1.210791373
0.3,2014,943,2712778,516,1391,1.208803201
0.3,2014,943,2712778,516,1391,1.208529931
0.3,14758,6846,18365427,2932,10180,8.737080483
0.3,162,103,326217,49,138,0.137275025
0.3,162,103,326217,49,138,0.137809536
0.3,97842,28106,19016195,3011,27735,11.77561111
0.3,35926,11956,18847937,3011,14567,9.513013811
0.3,71510,21207,18944347,3011,22153,10.810102487
