probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,21449,8845,18226769,2900,11960,6.654413642
0.3,46141,15956,18279647,2900,17980,7.367249367
0.3,38121,13632,18262722,2900,16006,7.184138395
0.3,5483,3068,9921790,1503,4852,3.409372419
0.3,5483,3068,9921790,1503,4852,3.373140185
0.3,5483,3068,9921790,1503,4852,3.367742954
0.3,85381,25229,17777946,3013,24999,8.09478067
0.3,17203,7302,17595152,3013,10364,6.283759275
0.3,17203,7302,17595152,3013,10364,6.252143172
0.3,12184,5887,17570397,2901,9229,6.160716657
0.3,28234,10123,17796017,2927,12763,6.654339049
0.3,12184,5887,17570397,2901,9229,6.202848126
0.3,10668,5751,16409397,2686,8853,5.770873161
0.3,10668,5751,16409397,2686,8853,5.789092907
0.3,30332,10909,18002216,2924,13453,6.802741071
0.3,79372,23569,18495516,3030,23572,8.127959804
0.3,44804,14201,18402027,3030,16035,7.205345059
0.3,174804,49427,18754341,3030,44389,10.771938219
0.3,40599,13841,19719271,2985,16065,7.570024667
0.3,71987,22308,19797624,2985,22911,8.447207022
0.3,82253,25212,19822604,2985,25224,8.757233857
0.3,7479,3999,12149003,1873,6173,4.217283388
0.3,7479,3999,12149003,1873,6173,4.209457515
0.3,7479,3999,12149003,1873,6173,4.206116521
0.3,1347,797,2365904,377,1202,0.790405243
0.3,1347,797,2365904,377,1202,0.799780549
0.3,1347,797,2365904,377,1202,0.793414148
0.3,38810,13248,18384169,2961,15455,7.166211327
0.3,38810,13248,18384169,2961,15455,7.17683126
0.3,46368,15261,18405926,2961,17070,7.339920024
0.3,54303,17435,18299500,3057,18807,7.532531294
0.3,5889,3042,9148989,1553,4657,3.160258699
0.3,5889,3042,9148989,1553,4657,3.136986523
0.3,104916,30637,18709736,2965,29715,8.993409005
0.3,65958,20250,18593279,2965,21224,7.900199096
0.3,157866,44766,18859780,2965,41268,10.431103602
0.3,2667,1508,4486074,769,2236,1.506285393
0.3,2667,1508,4486074,769,2236,1.504671206
0.3,2667,1508,4486074,769,2236,1.522826215
0.3,33733,11200,17860117,2972,13563,6.812005002
